Command,Code_h,Name,,Address,Dummy,Data,Data Min,Data Max,isWriteData,,,,,,,AddressLines,Data Lines,,,,,,Ext,"DualI/O","QuadI/O","DataBytes",Notes,,,7,6,5,4,3,2,1,0,,Quad
QUAD OUTPUT FAST READ,6B,Quad Output Fast Read,,1,1,1,1,-1,0,,true,true,true,false,,0x01,0x0F,,"0x6B,"," {true,true,true,false,0x01,0x0F}, // Quad Output Fast Read","qspi_cmds[0x6B] = {true,true,true,false,0x01,0x0F,""Quad Output Fast Read""};",,Yes,No,Yes,1 to âˆž,5,,1101011,0,1,1,0,1,0,1,1,,seems fine
QUAD INPUT/OUTPUT FAST READ,EB,Quad I/O Fast Read,,1,1,1,1,-1,0,,true,true,true,false,,0x0F,0x0F,,"0xEB,"," {true,true,true,false,0x0F,0x0F}, // Quad I/O Fast Read","qspi_cmds[0xEB] = {true,true,true,false,0x0F,0x0F,""Quad I/O Fast Read""};",,Yes,No,,,,,11101011,1,1,1,0,1,0,1,1,,
WRITE ENABLE,06,Write Enable,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0x06,"," {false,false,false,false,0x00,0x00}, // Write Enable","qspi_cmds[0x06] = {false,false,false,false,0x00,0x00,""Write Enable""};",,Yes,Yes,Yes,0,2,,110,0,0,0,0,0,1,1,0,,seems fine
WRITE DISABLE,04,Write Disable,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0x04,"," {false,false,false,false,0x00,0x00}, // Write Disable","qspi_cmds[0x04] = {false,false,false,false,0x00,0x00,""Write Disable""};",,Yes,Yes,Yes,,,,100,0,0,0,0,0,1,0,0,,seems fine
READ STATUS REGISTER,05,Read Status Reg,,0,0,1,1,-1,0,,false,false,true,false,,0x00,0x02,,"0x05,"," {false,false,true,false,0x00,0x02}, // Read Status Reg","qspi_cmds[0x05] = {false,false,true,false,0x00,0x02,""Read Status Reg""};",,Yes,Yes,Yes,1 to inf,2,,101,0,0,0,0,0,1,0,1,,seems fine
WRITE STATUS REGISTER,01,Write Status Reg,,0,0,1,1,1,1,,false,false,true,true,,0x00,0x01,,"0x01,"," {false,false,true,true,0x00,0x01}, // Write Status Reg","qspi_cmds[0x01] = {false,false,true,true,0x00,0x01,""Write Status Reg""};",,Yes,Yes,Yes,,"2, 8",,1,0,0,0,0,0,0,0,1,,Wont Work
READ LOCK REGISTER,E8,Read Lock Reg,,1,0,1,1,-1,0,,true,false,true,false,,0x01,0x02,,"0xE8,"," {true,false,true,false,0x01,0x02}, // Read Lock Reg","qspi_cmds[0xE8] = {true,false,true,false,0x01,0x02,""Read Lock Reg""};",,Yes,Yes,Yes,"1 to âˆž1",4,,11101000,1,1,1,0,1,0,0,0,,seems fine
WRITE LOCK REGISTER,E5,Write Lock Reg,,1,0,1,1,1,1,,true,false,true,true,,0x01,0x01,,"0xE5,"," {true,false,true,true,0x01,0x01}, // Write Lock Reg","qspi_cmds[0xE5] = {true,false,true,true,0x01,0x01,""Write Lock Reg""};",,,,,,"4, 8",,11100101,1,1,1,0,0,1,0,1,,
READ FLAG STATUS REGISTER,70,Read Flag Status Reg,,0,0,1,1,-1,0,,false,false,true,false,,0x00,0x02,,"0x70,"," {false,false,true,false,0x00,0x02}, // Read Flag Status Reg","qspi_cmds[0x70] = {false,false,true,false,0x00,0x02,""Read Flag Status Reg""};",,Yes,Yes,Yes,"1 to âˆž0",2,,1110000,0,1,1,1,0,0,0,0,,seems fine
CLEAR FLAG STATUS REGISTER,50,Clear Flag Status Reg,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0x50,"," {false,false,false,false,0x00,0x00}, // Clear Flag Status Reg","qspi_cmds[0x50] = {false,false,false,false,0x00,0x00,""Clear Flag Status Reg""};",,,,,,,,1010000,0,1,0,1,0,0,0,0,,
"READ NONVOLATILE 
CONFIGURATION REGISTER",B5,Read NonVol Cfg Reg,,0,0,1,2,2,0,,false,false,true,false,,0x00,0x02,,"0xB5,"," {false,false,true,false,0x00,0x02}, // Read NonVol Cfg Reg","qspi_cmds[0xB5] = {false,false,true,false,0x00,0x02,""Read NonVol Cfg Reg""};",,Yes,Yes,Yes,2,2,,10110101,1,0,1,1,0,1,0,1,,seems fine
"WRITE NONVOLATILE 
CONFIGURATION REGISTER",B1,Write NonVol Cfg Reg,,0,0,1,2,2,1,,false,false,true,true,,0x00,0x01,,"0xB1,"," {false,false,true,true,0x00,0x01}, // Write NonVol Cfg Reg","qspi_cmds[0xB1] = {false,false,true,true,0x00,0x01,""Write NonVol Cfg Reg""};",,,,,,"2, 8",,10110001,1,0,1,1,0,0,0,1,,
"READ VOLATILE 
CONFIGURATION REGISTER",85,Read Vol Cfg Reg,,0,0,1,1,-1,0,,false,false,true,false,,0x00,0x02,,"0x85,"," {false,false,true,false,0x00,0x02}, // Read Vol Cfg Reg","qspi_cmds[0x85] = {false,false,true,false,0x00,0x02,""Read Vol Cfg Reg""};",,Yes,Yes,Yes,"1 to âˆž1",2,,10000101,1,0,0,0,0,1,0,1,,seems fine
"WRITE VOLATILE
 CONFIGURATION REGISTER",81,Write Vol Cfg Reg,,0,0,1,1,1,1,,false,false,true,true,,0x00,0x01,,"0x81,"," {false,false,true,true,0x00,0x01}, // Write Vol Cfg Reg","qspi_cmds[0x81] = {false,false,true,true,0x00,0x01,""Write Vol Cfg Reg""};",,,,,,"2, 8",,10000001,1,0,0,0,0,0,0,1,,
"READ ENHANCED VOLATILE 
CONFIGURATION REGISTER",65,Read En Vol Cfg Reg,,0,0,1,1,-1,0,,false,false,true,false,,0x00,0x02,,"0x65,"," {false,false,true,false,0x00,0x02}, // Read En Vol Cfg Reg","qspi_cmds[0x65] = {false,false,true,false,0x00,0x02,""Read En Vol Cfg Reg""};",,Yes,Yes,Yes,"1 to âˆž1",2,,1100101,0,1,1,0,0,1,0,1,,seems fine
"WRITE ENHANCED VOLATILE 
CONFIGURATION REGISTER",61,Write En Vol Cfg Reg,,0,0,1,1,1,1,,false,false,true,true,,0x00,0x01,,"0x61,"," {false,false,true,true,0x00,0x01}, // Write En Vol Cfg Reg","qspi_cmds[0x61] = {false,false,true,true,0x00,0x01,""Write En Vol Cfg Reg""};",,,,,,"2, 8",,1100001,0,1,1,0,0,0,0,1,,
PAGE PROGRAM,02,Page Pgm,,1,0,1,1,256,1,,true,false,true,true,,0x01,0x01,,"0x02,"," {true,false,true,true,0x01,0x01}, // Page Pgm","qspi_cmds[0x02] = {true,false,true,true,0x01,0x01,""Page Pgm""};",,Yes,Yes,Yes,1 to 256,"4, 8",,10,0,0,0,0,0,0,1,0,,Wont Work
DUAL INPUT FAST PROGRAM,A2,Dual Input Fast Pgm,,1,0,1,1,256,1,,true,false,true,true,,0x01,0x03,,"0xA2,"," {true,false,true,true,0x01,0x03}, // Dual Input Fast Pgm","qspi_cmds[0xA2] = {true,false,true,true,0x01,0x03,""Dual Input Fast Pgm""};",,Yes,Yes,No,1 to 256,"4, 8",,10100010,1,0,1,0,0,0,1,0,,
"EXTENDED DUAL INPUT 
FAST PROGRAM",D2,Ext Dual Input Fast Pgm,,1,0,1,1,256,1,,true,false,true,true,,0x03,0x03,,"0xD2,"," {true,false,true,true,0x03,0x03}, // Ext Dual Input Fast Pgm","qspi_cmds[0xD2] = {true,false,true,true,0x03,0x03,""Ext Dual Input Fast Pgm""};",,Yes,Yes,No,,"4, 6, 8",,11010010,1,1,0,1,0,0,1,0,,
QUAD INPUT FAST PROGRAM,32,Quad Input Fast Pgm,,1,0,1,1,256,1,,true,false,true,true,,0x01,0x0F,,"0x32,"," {true,false,true,true,0x01,0x0F}, // Quad Input Fast Pgm","qspi_cmds[0x32] = {true,false,true,true,0x01,0x0F,""Quad Input Fast Pgm""};",,Yes,No,"YesYes",1 to 256,"4, 8",,110010,0,0,1,1,0,0,1,0,,
"EXTENDED QUAD INPUT
 FAST PROGRAM",12,Ext Quad Input Fast Pgm,,1,0,1,1,256,1,,true,false,true,true,,0x0F,0x0F,,"0x12,"," {true,false,true,true,0x0F,0x0F}, // Ext Quad Input Fast Pgm","qspi_cmds[0x12] = {true,false,true,true,0x0F,0x0F,""Ext Quad Input Fast Pgm""};",,Yes,No,,,"4, 7, 8",,10010,0,0,0,1,0,0,1,0,,
SUBSECTOR ERASE,20,Subsector Erase,,1,0,0,0,0,0,,true,false,false,false,,0x01,0x00,,"0x20,"," {true,false,false,false,0x01,0x00}, // Subsector Erase","qspi_cmds[0x20] = {true,false,false,false,0x01,0x00,""Subsector Erase""};",,Yes,Yes,Yes,0,"4, 8",,100000,0,0,1,0,0,0,0,0,,Wont Work
SECTOR ERASE,D8,Sector Erase,,1,0,0,0,0,0,,true,false,false,false,,0x01,0x00,,"0xD8,"," {true,false,false,false,0x01,0x00}, // Sector Erase","qspi_cmds[0xD8] = {true,false,false,false,0x01,0x00,""Sector Erase""};",,,,,,"4, 8",,11011000,1,1,0,1,1,0,0,0,,
BULK ERASE,C7,Bulk Erase,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0xC7,"," {false,false,false,false,0x00,0x00}, // Bulk Erase","qspi_cmds[0xC7] = {false,false,false,false,0x00,0x00,""Bulk Erase""};",,,,,,"2, 8",,11000111,1,1,0,0,0,1,1,1,,
PROGRAM/ERASE RESUME,7A,Pgm/Erase Resume,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0x7A,"," {false,false,false,false,0x00,0x00}, // Pgm/Erase Resume","qspi_cmds[0x7A] = {false,false,false,false,0x00,0x00,""Pgm/Erase Resume""};",,Yes,Yes,Yes,0,"2, 8",,1111010,0,1,1,1,1,0,1,0,,seems fine
PROGRAM/ERASE SUSPEND,75,Pgm/Erase Suspend,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0x75,"," {false,false,false,false,0x00,0x00}, // Pgm/Erase Suspend","qspi_cmds[0x75] = {false,false,false,false,0x00,0x00,""Pgm/Erase Suspend""};",,,,,,,,1110101,0,1,1,1,0,1,0,1,,
READ OTP ARRAY,4B,Read OTP Array,,1,1,1,1,64,0,,true,true,true,false,,0x01,0x02,,"0x4B,"," {true,true,true,false,0x01,0x02}, // Read OTP Array","qspi_cmds[0x4B] = {true,true,true,false,0x01,0x02,""Read OTP Array""};",,Yes,Yes,Yes,1 to 64,5,,1001011,0,1,0,0,1,0,1,1,,seems fine
PROGRAM OTP ARRAY,42,Pgm OTP Array,,1,0,1,1,64,1,,true,false,true,true,,0x01,0x01,,"0x42,"," {true,false,true,true,0x01,0x01}, // Pgm OTP Array","qspi_cmds[0x42] = {true,false,true,true,0x01,0x01,""Pgm OTP Array""};",,,,,,4,,1000010,0,1,0,0,0,0,1,0,,
Deep power-down,B9,Deep Power-Down,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0xB9,"," {false,false,false,false,0x00,0x00}, // Deep Power-Down","qspi_cmds[0xB9] = {false,false,false,false,0x00,0x00,""Deep Power-Down""};",,Yes,Yes,Yes,0,2,,10111001,1,0,1,1,1,0,0,1,,seems fine
Release from deep power-down,AB,Release From DPD,,0,0,0,0,0,0,,false,false,false,false,,0x00,0x00,,"0xAB,"," {false,false,false,false,0x00,0x00}, // Release From DPD","qspi_cmds[0xAB] = {false,false,false,false,0x00,0x00,""Release From DPD""};",,,,,,,,10101011,1,0,1,0,1,0,1,1,,
